#,LJCカードID,jpegファイル名,カード番号,質問番号,地図番号,項目名,LJC_ID
58,LJC00158,LJC00158.jpg,1-58,275,5,ガンジツ (元日),LJC-M005Q275
59,LJC00159,LJC00159.jpg,1-59,275,5,ガンジツ (元日),LJC-M005Q275
60,LJC00160,LJC00160.jpg,1-60,275,5,ガンジツ (元日),LJC-M005Q275
61,LJC00161,LJC00161.jpg,1-61,275,5,ガンジツ (元日),LJC-M005Q275
62,LJC00162,LJC00162.jpg,1-62,275,5,ガンジツ (元日),LJC-M005Q275
63,LJC00163,LJC00163.jpg,1-63,275,5,ガンジツ (元日),LJC-M005Q275
64,LJC00164,LJC00164.jpg,1-64,275,5,ガンジツ (元日),LJC-M005Q275
65,LJC00165,LJC00165.jpg,1-65,275,5,ガンジツ (元日),LJC-M005Q275
66,LJC00166,LJC00166.jpg,1-66,275,5,ガンジツ (元日),LJC-M005Q275
67,LJC00167,LJC00167.jpg,1-67,275,5,ガンジツ (元日),LJC-M005Q275
68,LJC00168,LJC00168.jpg,1-68,275,5,ガンジツ (元日),LJC-M005Q275
69,LJC00169,LJC00169.jpg,1-69,275,5,ガンジツ (元日),LJC-M005Q275
70,LJC00170,LJC00170.jpg,1-70,275,5,ガンジツ (元日),LJC-M005Q275
71,LJC00171,LJC00171.jpg,1-71,275,5,ガンジツ (元日),LJC-M005Q275
72,LJC00172,LJC00172.jpg,1-72,274,6,ショウガツ (正月),LJC-M006Q274
73,LJC00173,LJC00173.jpg,1-73,274,6,ショウガツ (正月),LJC-M006Q274
74,LJC00174,LJC00174.jpg,1-74,274,6,ショウガツ (正月),LJC-M006Q274
75,LJC00175,LJC00175.jpg,1-75,274,6,ショウガツ (正月),LJC-M006Q274
76,LJC00176,LJC00176.jpg,1-76,274,6,ショウガツ (正月),LJC-M006Q274
77,LJC00177,LJC00177.jpg,1-77,274,6,ショウガツ (正月),LJC-M006Q274
78,LJC00178,LJC00178.jpg,1-78,274,6,ショウガツ (正月),LJC-M006Q274
79,LJC00179,LJC00179.jpg,1-79,274,6,ショウガツ (正月),LJC-M006Q274
80,LJC00180,LJC00180.jpg,1-80,274,6,ショウガツ (正月),LJC-M006Q274
81,LJC00181,LJC00181.jpg,1-81,274,6,ショウガツ (正月),LJC-M006Q274
82,LJC00182,LJC00182.jpg,1-82,274,6,ショウガツ (正月),LJC-M006Q274
83,LJC00183,LJC00183.jpg,1-83,274,6,ショウガツ (正月),LJC-M006Q274
84,LJC00184,LJC00184.jpg,1-84,274,6,ショウガツ (正月),LJC-M006Q274
85,LJC00185,LJC00185.jpg,1-85,274,6,ショウガツ (正月),LJC-M006Q274
86,LJC00186,LJC00186.jpg,1-86,274,6,ショウガツ (正月),LJC-M006Q274
