#,LJCカードID,jpegファイル名,カード番号,質問番号,地図番号,項目名,LJC_ID
1281,LJC01407,LJC01407.jpg,14-7,23,56,つくる (作る),LJC-M056Q023
1282,LJC01408,LJC01408.jpg,14-8,23,56,つくる (作る),LJC-M056Q023
1283,LJC01409,LJC01409.jpg,14-9,23,56,つくる (作る),LJC-M056Q023
1284,LJC01410,LJC01410.jpg,14-10,23,56,つくる (作る),LJC-M056Q023
1285,LJC01411,LJC01411.jpg,14-11,23,56,つくる (作る),LJC-M056Q023
1286,LJC01412,LJC01412.jpg,14-12,23,56,つくる (作る),LJC-M056Q023
1287,LJC01413,LJC01413.jpg,14-13,23,56,つくる (作る),LJC-M056Q023
1288,LJC01414,LJC01414.jpg,14-14,23,56,つくる (作る),LJC-M056Q023
1289,LJC01415,LJC01415.jpg,14-15,23,56,つくる (作る),LJC-M056Q023
1290,LJC01416,LJC01416.jpg,14-16,23,56,つくる (作る),LJC-M056Q023
1291,LJC01417,LJC01417.jpg,14-17,23,56,つくる (作る),LJC-M056Q023
1292,LJC01418,LJC01418.jpg,14-18,23,56,つくる (作る),LJC-M056Q023
1293,LJC01419,LJC01419.jpg,14-19,23,56,つくる (作る),LJC-M056Q023
1294,LJC01420,LJC01420.jpg,14-20,23,56,つくる (作る),LJC-M056Q023
1295,LJC01421,LJC01421.jpg,14-21,23,56,つくる (作る),LJC-M056Q023
1296,LJC01422,LJC01422.jpg,14-22,23,56,つくる (作る),LJC-M056Q023
1297,LJC01423,LJC01423.jpg,14-23,23,56,つくる (作る),LJC-M056Q023
1298,LJC01424,LJC01424.jpg,14-24,23,56,つくる (作る),LJC-M056Q023
1299,LJC01425,LJC01425.jpg,14-25,23,56,つくる (作る),LJC-M056Q023
1300,LJC01426,LJC01426.jpg,14-26,23,56,つくる (作る),LJC-M056Q023
1301,LJC01427,LJC01427.jpg,14-27,23,56,つくる (作る),LJC-M056Q023
1302,LJC01428,LJC01428.jpg,14-28,23,56,つくる (作る),LJC-M056Q023
1303,LJC01429,LJC01429.jpg,14-29,23,56,つくる (作る),LJC-M056Q023
1304,LJC01430,LJC01430.jpg,14-30,23,56,つくる (作る),LJC-M056Q023
1305,LJC01431,LJC01431.jpg,14-31,23,56,つくる (作る),LJC-M056Q023
1306,LJC01432,LJC01432.jpg,14-32,23,56,つくる (作る),LJC-M056Q023
1307,LJC01433,LJC01433.jpg,14-33,23,56,つくる (作る),LJC-M056Q023
1308,LJC01434,LJC01434.jpg,14-34,23,56,つくる (作る),LJC-M056Q023
1309,LJC01435,LJC01435.jpg,14-35,23,56,つくる (作る),LJC-M056Q023
1310,LJC01436,LJC01436.jpg,14-36,23,56,つくる (作る),LJC-M056Q023
1311,LJC01437,LJC01437.jpg,14-37,23,56,つくる (作る),LJC-M056Q023
1312,LJC01438,LJC01438.jpg,14-38,23,56,つくる (作る),LJC-M056Q023
1313,LJC01439,LJC01439.jpg,14-39,23,56,つくる (作る),LJC-M056Q023
1314,LJC01440,LJC01440.jpg,14-40,23,56,つくる (作る),LJC-M056Q023
1315,LJC01441,LJC01441.jpg,14-41,23,56,つくる (作る),LJC-M056Q023
1316,LJC01442,LJC01442.jpg,14-42,23,56,つくる (作る),LJC-M056Q023
1317,LJC01443,LJC01443.jpg,14-43,23,56,つくる (作る),LJC-M056Q023
1318,LJC01444,LJC01444.jpg,14-44,23,56,つくる (作る),LJC-M056Q023
1319,LJC01445,LJC01445.jpg,14-45,23,56,つくる (作る),LJC-M056Q023
1320,LJC01446,LJC01446.jpg,14-46,23,56,つくる (作る),LJC-M056Q023
1321,LJC01447,LJC01447.jpg,14-47,171,59,センタクスルを“裁縫する”の意味で使うか,LJC-M059Q171
1322,LJC01448,LJC01448.jpg,14-48,171,59,センタクスルを“裁縫する”の意味で使うか,LJC-M059Q171
1323,LJC01449,LJC01449.jpg,14-49,171,59,センタクスルを“裁縫する”の意味で使うか,LJC-M059Q171
1324,LJC01450,LJC01450.jpg,14-50,171,59,センタクスルを“裁縫する”の意味で使うか,LJC-M059Q171
1325,LJC01451,LJC01451.jpg,14-51,171,59,センタクスルを“裁縫する”の意味で使うか,LJC-M059Q171
1326,LJC01452,LJC01452.jpg,14-52,171,59,センタクスルを“裁縫する”の意味で使うか,LJC-M059Q171
1327,LJC01453,LJC01453.jpg,14-53,171,59,センタクスルを“裁縫する”の意味で使うか,LJC-M059Q171
1328,LJC01454,LJC01454.jpg,14-54,171,59,センタクスルを“裁縫する”の意味で使うか,LJC-M059Q171
1329,LJC01455,LJC01455.jpg,14-55,171,59,センタクスルを“裁縫する”の意味で使うか,LJC-M059Q171
1330,LJC01456,LJC01456.jpg,14-56,171,59,センタクスルを“裁縫する”の意味で使うか,LJC-M059Q171
1331,LJC01457,LJC01457.jpg,14-57,171,59,センタクスルを“裁縫する”の意味で使うか,LJC-M059Q171
1332,LJC01458,LJC01458.jpg,14-58,171,59,センタクスルを“裁縫する”の意味で使うか,LJC-M059Q171
1333,LJC01459,LJC01459.jpg,14-59,171,59,センタクスルを“裁縫する”の意味で使うか,LJC-M059Q171
1334,LJC01460,LJC01460.jpg,14-60,171,59,センタクスルを“裁縫する”の意味で使うか,LJC-M059Q171
1335,LJC01461,LJC01461.jpg,14-61,171,59,センタクスルを“裁縫する”の意味で使うか,LJC-M059Q171
1336,LJC01462,LJC01462.jpg,14-62,171,59,センタクスルを“裁縫する”の意味で使うか,LJC-M059Q171
1337,LJC01463,LJC01463.jpg,14-63,171,59,センタクスルを“裁縫する”の意味で使うか,LJC-M059Q171
1338,LJC01464,LJC01464.jpg,14-64,171,59,センタクスルを“裁縫する”の意味で使うか,LJC-M059Q171
1339,LJC01465,LJC01465.jpg,14-65,171,59,センタクスルを“裁縫する”の意味で使うか,LJC-M059Q171
1340,LJC01466,LJC01466.jpg,14-66,171,59,センタクスルを“裁縫する”の意味で使うか,LJC-M059Q171
1341,LJC01467,LJC01467.jpg,14-67,171,59,センタクスルを“裁縫する”の意味で使うか,LJC-M059Q171
1342,LJC01468,LJC01468.jpg,14-68,171,59,センタクスルを“裁縫する”の意味で使うか,LJC-M059Q171
1343,LJC01469,LJC01469.jpg,14-69,171,59,センタクスルを“裁縫する”の意味で使うか,LJC-M059Q171
1344,LJC01470,LJC01470.jpg,14-70,171,59,センタクスルを“裁縫する”の意味で使うか,LJC-M059Q171
1345,LJC01471,LJC01471.jpg,14-71,171,59,センタクスルを“裁縫する”の意味で使うか,LJC-M059Q171
1346,LJC01472,LJC01472.jpg,14-72,171,59,センタクスルを“裁縫する”の意味で使うか,LJC-M059Q171
1347,LJC01473,LJC01473.jpg,14-73,171,59,センタクスルを“裁縫する”の意味で使うか,LJC-M059Q171
1348,LJC01474,LJC01474.jpg,14-74,171,59,センタクスルを“裁縫する”の意味で使うか,LJC-M059Q171
1349,LJC01475,LJC01475.jpg,14-75,171,59,センタクスルを“裁縫する”の意味で使うか,LJC-M059Q171
1350,LJC01476,LJC01476.jpg,14-76,171,59,センタクスルを“裁縫する”の意味で使うか,LJC-M059Q171
1351,LJC01477,LJC01477.jpg,14-77,171,59,センタクスルを“裁縫する”の意味で使うか,LJC-M059Q171
1352,LJC01478,LJC01478.jpg,14-78,171,59,センタクスルを“裁縫する”の意味で使うか,LJC-M059Q171
1353,LJC01479,LJC01479.jpg,14-79,171,59,センタクスルを“裁縫する”の意味で使うか,LJC-M059Q171
1354,LJC01480,LJC01480.jpg,14-80,171,59,センタクスルを“裁縫する”の意味で使うか,LJC-M059Q171
1355,LJC01481,LJC01481.jpg,14-81,171,59,センタクスルを“裁縫する”の意味で使うか,LJC-M059Q171
1356,LJC01482,LJC01482.jpg,14-82,171,59,センタクスルを“裁縫する”の意味で使うか,LJC-M059Q171
1357,LJC01483,LJC01483.jpg,14-83,171,59,センタクスルを“裁縫する”の意味で使うか,LJC-M059Q171
1358,LJC01484,LJC01484.jpg,14-84,171,59,センタクスルを“裁縫する”の意味で使うか,LJC-M059Q171
1359,LJC01485,LJC01485.jpg,14-85,171,59,センタクスルを“裁縫する”の意味で使うか,LJC-M059Q171
1360,LJC01486,LJC01486.jpg,14-86,171,59,センタクスルを“裁縫する”の意味で使うか,LJC-M059Q171
1361,LJC01487,LJC01487.jpg,14-87,171,59,センタクスルを“裁縫する”の意味で使うか,LJC-M059Q171
1362,LJC01488,LJC01488.jpg,14-88,171,59,センタクスルを“裁縫する”の意味で使うか,LJC-M059Q171
1363,LJC01489,LJC01489.jpg,14-89,212,60,ハソンスルを“修繕する”の意味で使うか,LJC-M060Q212
1364,LJC01490,LJC01490.jpg,14-90,212,60,ハソンスルを“修繕する”の意味で使うか,LJC-M060Q212
1365,LJC01491,LJC01491.jpg,14-91,212,60,ハソンスルを“修繕する”の意味で使うか,LJC-M060Q212
1366,LJC01492,LJC01492.jpg,14-92,212,60,ハソンスルを“修繕する”の意味で使うか,LJC-M060Q212
1367,LJC01493,LJC01493.jpg,14-93,212,60,ハソンスルを“修繕する”の意味で使うか,LJC-M060Q212
1368,LJC01494,LJC01494.jpg,14-94,212,60,ハソンスルを“修繕する”の意味で使うか,LJC-M060Q212
1369,LJC01495,LJC01495.jpg,14-95,212,60,ハソンスルを“修繕する”の意味で使うか,LJC-M060Q212
1370,LJC01496,LJC01496.jpg,14-96,212,60,ハソンスルを“修繕する”の意味で使うか,LJC-M060Q212
1371,LJC01497,LJC01497.jpg,14-97,212,60,ハソンスルを“修繕する”の意味で使うか,LJC-M060Q212
1372,LJC01498,LJC01498.jpg,14-98,212,60,ハソンスルを“修繕する”の意味で使うか,LJC-M060Q212
1373,LJC01501,LJC01501.jpg,15-1,212,60,ハソンスルを“修繕する”の意味で使うか,LJC-M060Q212
1374,LJC01502,LJC01502.jpg,15-2,212,60,ハソンスルを“修繕する”の意味で使うか,LJC-M060Q212
1375,LJC01503,LJC01503.jpg,15-3,212,60,ハソンスルを“修繕する”の意味で使うか,LJC-M060Q212
1376,LJC01504,LJC01504.jpg,15-4,26,61,ナオスを“片付ける・しまう”の意味で使うか,LJC-M061Q026
1377,LJC01505,LJC01505.jpg,15-5,26,61,ナオスを“片付ける・しまう”の意味で使うか,LJC-M061Q026
1378,LJC01506,LJC01506.jpg,15-6,26,61,ナオスを“片付ける・しまう”の意味で使うか,LJC-M061Q026
1379,LJC01507,LJC01507.jpg,15-7,26,61,ナオスを“片付ける・しまう”の意味で使うか,LJC-M061Q026
1380,LJC01508,LJC01508.jpg,15-8,26,61,ナオスを“片付ける・しまう”の意味で使うか,LJC-M061Q026
1381,LJC01509,LJC01509.jpg,15-9,26,61,ナオスを“片付ける・しまう”の意味で使うか,LJC-M061Q026
1382,LJC01510,LJC01510.jpg,15-10,26,61,ナオスを“片付ける・しまう”の意味で使うか,LJC-M061Q026
1383,LJC01511,LJC01511.jpg,15-11,26,61,ナオスを“片付ける・しまう”の意味で使うか,LJC-M061Q026
1384,LJC01512,LJC01512.jpg,15-12,26,61,ナオスを“片付ける・しまう”の意味で使うか,LJC-M061Q026
1385,LJC01513,LJC01513.jpg,15-13,26,61,ナオスを“片付ける・しまう”の意味で使うか,LJC-M061Q026
1386,LJC01514,LJC01514.jpg,15-14,26,61,ナオスを“片付ける・しまう”の意味で使うか,LJC-M061Q026
1387,LJC01515,LJC01515.jpg,15-15,26,61,ナオスを“片付ける・しまう”の意味で使うか,LJC-M061Q026
1388,LJC01516,LJC01516.jpg,15-16,26,61,ナオスを“片付ける・しまう”の意味で使うか,LJC-M061Q026
1389,LJC01517,LJC01517.jpg,15-17,26,61,ナオスを“片付ける・しまう”の意味で使うか,LJC-M061Q026
1390,LJC01518,LJC01518.jpg,15-18,26,61,ナオスを“片付ける・しまう”の意味で使うか,LJC-M061Q026
1391,LJC01519,LJC01519.jpg,15-19,26,61,ナオスを“片付ける・しまう”の意味で使うか,LJC-M061Q026
1392,LJC01520,LJC01520.jpg,15-20,26,61,ナオスを“片付ける・しまう”の意味で使うか,LJC-M061Q026
1393,LJC01521,LJC01521.jpg,15-21,26,61,ナオスを“片付ける・しまう”の意味で使うか,LJC-M061Q026
1394,LJC01522,LJC01522.jpg,15-22,26,61,ナオスを“片付ける・しまう”の意味で使うか,LJC-M061Q026
1395,LJC01523,LJC01523.jpg,15-23,26,61,ナオスを“片付ける・しまう”の意味で使うか,LJC-M061Q026
1396,LJC01524,LJC01524.jpg,15-24,26,61,ナオスを“片付ける・しまう”の意味で使うか,LJC-M061Q026
1397,LJC01525,LJC01525.jpg,15-25,26,61,ナオスを“片付ける・しまう”の意味で使うか,LJC-M061Q026
1398,LJC01526,LJC01526.jpg,15-26,26,61,ナオスを“片付ける・しまう”の意味で使うか,LJC-M061Q026
1399,LJC01527,LJC01527.jpg,15-27,26,61,ナオスを“片付ける・しまう”の意味で使うか,LJC-M061Q026
1400,LJC01528,LJC01528.jpg,15-28,26,61,ナオスを“片付ける・しまう”の意味で使うか,LJC-M061Q026
1401,LJC01529,LJC01529.jpg,15-29,26,61,ナオスを“片付ける・しまう”の意味で使うか,LJC-M061Q026
1402,LJC01530,LJC01530.jpg,15-30,26,61,ナオスを“片付ける・しまう”の意味で使うか,LJC-M061Q026
1403,LJC01531,LJC01531.jpg,15-31,26,61,ナオスを“片付ける・しまう”の意味で使うか,LJC-M061Q026
1404,LJC01532,LJC01532.jpg,15-32,26,61,ナオスを“片付ける・しまう”の意味で使うか,LJC-M061Q026
1405,LJC01533,LJC01533.jpg,15-33,26,61,ナオスを“片付ける・しまう”の意味で使うか,LJC-M061Q026
1406,LJC01534,LJC01534.jpg,15-34,26,61,ナオスを“片付ける・しまう”の意味で使うか,LJC-M061Q026
1407,LJC01535,LJC01535.jpg,15-35,235,62,すてる (捨てる),LJC-M062Q235
1408,LJC01536,LJC01536.jpg,15-36,235,62,すてる (捨てる),LJC-M062Q235
1409,LJC01537,LJC01537.jpg,15-37,235,62,すてる (捨てる),LJC-M062Q235
1410,LJC01538,LJC01538.jpg,15-38,235,62,すてる (捨てる),LJC-M062Q235
1411,LJC01539,LJC01539.jpg,15-39,235,62,すてる (捨てる),LJC-M062Q235
1412,LJC01540,LJC01540.jpg,15-40,235,62,すてる (捨てる),LJC-M062Q235
1413,LJC01541,LJC01541.jpg,15-41,235,62,すてる (捨てる),LJC-M062Q235
1414,LJC01542,LJC01542.jpg,15-42,235,62,すてる (捨てる),LJC-M062Q235
1415,LJC01543,LJC01543.jpg,15-43,235,62,すてる (捨てる),LJC-M062Q235
1416,LJC01544,LJC01544.jpg,15-44,235,62,すてる (捨てる),LJC-M062Q235
1417,LJC01545,LJC01545.jpg,15-45,235,62,すてる (捨てる),LJC-M062Q235
1418,LJC01546,LJC01546.jpg,15-46,235,62,すてる (捨てる),LJC-M062Q235
1419,LJC01547,LJC01547.jpg,15-47,235,62,すてる (捨てる),LJC-M062Q235
1420,LJC01548,LJC01548.jpg,15-48,235,62,すてる (捨てる),LJC-M062Q235
1421,LJC01549,LJC01549.jpg,15-49,235,62,すてる (捨てる),LJC-M062Q235
1422,LJC01550,LJC01550.jpg,15-50,235,62,すてる (捨てる),LJC-M062Q235
1423,LJC01551,LJC01551.jpg,15-51,235,62,すてる (捨てる),LJC-M062Q235
1424,LJC01552,LJC01552.jpg,15-52,235,62,すてる (捨てる),LJC-M062Q235
1425,LJC01553,LJC01553.jpg,15-53,235,62,すてる (捨てる),LJC-M062Q235
1426,LJC01554,LJC01554.jpg,15-54,235,62,すてる (捨てる),LJC-M062Q235
1427,LJC01555,LJC01555.jpg,15-55,235,62,すてる (捨てる),LJC-M062Q235
1428,LJC01556,LJC01556.jpg,15-56,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1429,LJC01557,LJC01557.jpg,15-57,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1430,LJC01558,LJC01558.jpg,15-58,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1431,LJC01559,LJC01559.jpg,15-59,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1432,LJC01560,LJC01560.jpg,15-60,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1433,LJC01561,LJC01561.jpg,15-61,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1434,LJC01562,LJC01562.jpg,15-62,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1435,LJC01563,LJC01563.jpg,15-63,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1436,LJC01564,LJC01564.jpg,15-64,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1437,LJC01565,LJC01565.jpg,15-65,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1438,LJC01566,LJC01566.jpg,15-66,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1439,LJC01567,LJC01567.jpg,15-67,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1440,LJC01568,LJC01568.jpg,15-68,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1441,LJC01569,LJC01569.jpg,15-69,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1442,LJC01570,LJC01570.jpg,15-70,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1443,LJC01571,LJC01571.jpg,15-71,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1444,LJC01572,LJC01572.jpg,15-72,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1445,LJC01573,LJC01573.jpg,15-73,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1446,LJC01574,LJC01574.jpg,15-74,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1447,LJC01575,LJC01575.jpg,15-75,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1448,LJC01576,LJC01576.jpg,15-76,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1449,LJC01577,LJC01577.jpg,15-77,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1450,LJC01578,LJC01578.jpg,15-78,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1451,LJC01579,LJC01579.jpg,15-79,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1452,LJC01580,LJC01580.jpg,15-80,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1453,LJC01581,LJC01581.jpg,15-81,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1454,LJC01582,LJC01582.jpg,15-82,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1455,LJC01583,LJC01583.jpg,15-83,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1456,LJC01584,LJC01584.jpg,15-84,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1457,LJC01585,LJC01585.jpg,15-85,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1458,LJC01586,LJC01586.jpg,15-86,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1459,LJC01587,LJC01587.jpg,15-87,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1460,LJC01588,LJC01588.jpg,15-88,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1461,LJC01589,LJC01589.jpg,15-89,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1462,LJC01590,LJC01590.jpg,15-90,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1463,LJC01591,LJC01591.jpg,15-91,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1464,LJC01592,LJC01592.jpg,15-92,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1465,LJC01593,LJC01593.jpg,15-93,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1466,LJC01594,LJC01594.jpg,15-94,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1467,LJC01595,LJC01595.jpg,15-95,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1468,LJC01596,LJC01596.jpg,15-96,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1469,LJC01597,LJC01597.jpg,15-97,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1470,LJC01598,LJC01598.jpg,15-98,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1471,LJC01601,LJC01601.jpg,16-1,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1472,LJC01602,LJC01602.jpg,16-2,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1473,LJC01603,LJC01603.jpg,16-3,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1474,LJC01604,LJC01604.jpg,16-4,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1475,LJC01605,LJC01605.jpg,16-5,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1476,LJC01606,LJC01606.jpg,16-6,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1477,LJC01607,LJC01607.jpg,16-7,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1478,LJC01608,LJC01608.jpg,16-8,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1479,LJC01609,LJC01609.jpg,16-9,202,63,ステルを“紛失する”の意味で使うか,LJC-M063Q202
1480,LJC01610,LJC01610.jpg,16-10,261,64,おんぶする (幼児を負う),LJC-M064Q261
1481,LJC01611,LJC01611.jpg,16-11,261,64,おんぶする (幼児を負う),LJC-M064Q261
1482,LJC01612,LJC01612.jpg,16-12,261,64,おんぶする (幼児を負う),LJC-M064Q261
1483,LJC01613,LJC01613.jpg,16-13,261,64,おんぶする (幼児を負う),LJC-M064Q261
1484,LJC01614,LJC01614.jpg,16-14,261,64,おんぶする (幼児を負う),LJC-M064Q261
1485,LJC01615,LJC01615.jpg,16-15,261,64,おんぶする (幼児を負う),LJC-M064Q261
1486,LJC01616,LJC01616.jpg,16-16,261,64,おんぶする (幼児を負う),LJC-M064Q261
1487,LJC01617,LJC01617.jpg,16-17,261,64,おんぶする (幼児を負う),LJC-M064Q261
1488,LJC01618,LJC01618.jpg,16-18,261,64,おんぶする (幼児を負う),LJC-M064Q261
1489,LJC01619,LJC01619.jpg,16-19,261,64,おんぶする (幼児を負う),LJC-M064Q261
1490,LJC01620,LJC01620.jpg,16-20,261,64,おんぶする (幼児を負う),LJC-M064Q261
1491,LJC01621,LJC01621.jpg,16-21,261,64,おんぶする (幼児を負う),LJC-M064Q261
1492,LJC01622,LJC01622.jpg,16-22,261,64,おんぶする (幼児を負う),LJC-M064Q261
1493,LJC01623,LJC01623.jpg,16-23,261,64,おんぶする (幼児を負う),LJC-M064Q261
1494,LJC01624,LJC01624.jpg,16-24,261,64,おんぶする (幼児を負う),LJC-M064Q261
1495,LJC01625,LJC01625.jpg,16-25,261,64,おんぶする (幼児を負う),LJC-M064Q261
1496,LJC01626,LJC01626.jpg,16-26,261,64,おんぶする (幼児を負う),LJC-M064Q261
1497,LJC01627,LJC01627.jpg,16-27,261,64,おんぶする (幼児を負う),LJC-M064Q261
1498,LJC01628,LJC01628.jpg,16-28,261,64,おんぶする (幼児を負う),LJC-M064Q261
1499,LJC01629,LJC01629.jpg,16-29,261,64,おんぶする (幼児を負う),LJC-M064Q261
1500,LJC01630,LJC01630.jpg,16-30,261,64,おんぶする (幼児を負う),LJC-M064Q261
1501,LJC01631,LJC01631.jpg,16-31,262,65,しょう (包を背負う),LJC-M065Q262
1502,LJC01632,LJC01632.jpg,16-32,262,65,しょう (包を背負う),LJC-M065Q262
1503,LJC01633,LJC01633.jpg,16-33,262,65,しょう (包を背負う),LJC-M065Q262
1504,LJC01634,LJC01634.jpg,16-34,262,65,しょう (包を背負う),LJC-M065Q262
1505,LJC01635,LJC01635.jpg,16-35,262,65,しょう (包を背負う),LJC-M065Q262
1506,LJC01636,LJC01636.jpg,16-36,262,65,しょう (包を背負う),LJC-M065Q262
1507,LJC01637,LJC01637.jpg,16-37,262,65,しょう (包を背負う),LJC-M065Q262
1508,LJC01638,LJC01638.jpg,16-38,262,65,しょう (包を背負う),LJC-M065Q262
1509,LJC01639,LJC01639.jpg,16-39,262,65,しょう (包を背負う),LJC-M065Q262
1510,LJC01640,LJC01640.jpg,16-40,262,65,しょう (包を背負う),LJC-M065Q262
1511,LJC01641,LJC01641.jpg,16-41,262,65,しょう (包を背負う),LJC-M065Q262
1512,LJC01642,LJC01642.jpg,16-42,264,66,かつぐ (材木を担ぐ),LJC-M066Q264
1513,LJC01643,LJC01643.jpg,16-43,264,66,かつぐ (材木を担ぐ),LJC-M066Q264
1514,LJC01644,LJC01644.jpg,16-44,264,66,かつぐ (材木を担ぐ),LJC-M066Q264
1515,LJC01645,LJC01645.jpg,16-45,264,66,かつぐ (材木を担ぐ),LJC-M066Q264
1516,LJC01646,LJC01646.jpg,16-46,264,66,かつぐ (材木を担ぐ),LJC-M066Q264
1517,LJC01647,LJC01647.jpg,16-47,264,66,かつぐ (材木を担ぐ),LJC-M066Q264
1518,LJC01648,LJC01648.jpg,16-48,264,66,かつぐ (材木を担ぐ),LJC-M066Q264
1519,LJC01649,LJC01649.jpg,16-49,264,66,かつぐ (材木を担ぐ),LJC-M066Q264
1520,LJC01650,LJC01650.jpg,16-50,264,66,かつぐ (材木を担ぐ),LJC-M066Q264
1521,LJC01651,LJC01651.jpg,16-51,265,67,かつぐ (天秤棒を担ぐ),LJC-M067Q265
1522,LJC01652,LJC01652.jpg,16-52,265,67,かつぐ (天秤棒を担ぐ),LJC-M067Q265
1523,LJC01653,LJC01653.jpg,16-53,265,67,かつぐ (天秤棒を担ぐ),LJC-M067Q265
1524,LJC01654,LJC01654.jpg,16-54,265,67,かつぐ (天秤棒を担ぐ),LJC-M067Q265
1525,LJC01655,LJC01655.jpg,16-55,265,67,かつぐ (天秤棒を担ぐ),LJC-M067Q265
1526,LJC01656,LJC01656.jpg,16-56,265,67,かつぐ (天秤棒を担ぐ),LJC-M067Q265
1527,LJC01657,LJC01657.jpg,16-57,265,67,かつぐ (天秤棒を担ぐ),LJC-M067Q265
1528,LJC01658,LJC01658.jpg,16-58,265,67,かつぐ (天秤棒を担ぐ),LJC-M067Q265
1529,LJC01659,LJC01659.jpg,16-59,265,67,かつぐ (天秤棒を担ぐ),LJC-M067Q265
1530,LJC01660,LJC01660.jpg,16-60,266,68,かつぐ (二人で担ぐ),LJC-M068Q266
1531,LJC01661,LJC01661.jpg,16-61,266,68,かつぐ (二人で担ぐ),LJC-M068Q266
1532,LJC01662,LJC01662.jpg,16-62,266,68,かつぐ (二人で担ぐ),LJC-M068Q266
1533,LJC01663,LJC01663.jpg,16-63,266,68,かつぐ (二人で担ぐ),LJC-M068Q266
1534,LJC01664,LJC01664.jpg,16-64,266,68,かつぐ (二人で担ぐ),LJC-M068Q266
1535,LJC01665,LJC01665.jpg,16-65,266,68,かつぐ (二人で担ぐ),LJC-M068Q266
1536,LJC01666,LJC01666.jpg,16-66,266,68,かつぐ (二人で担ぐ),LJC-M068Q266
1537,LJC01667,LJC01667.jpg,16-67,266,68,かつぐ (二人で担ぐ),LJC-M068Q266
1538,LJC01668,LJC01668.jpg,16-68,266,68,かつぐ (二人で担ぐ),LJC-M068Q266
1539,LJC01669,LJC01669.jpg,16-69,266,68,かつぐ (二人で担ぐ),LJC-M068Q266
1540,LJC01670,LJC01670.jpg,16-70,266,68,かつぐ (二人で担ぐ),LJC-M068Q266
1541,LJC01671,LJC01671.jpg,16-71,266,68,かつぐ (二人で担ぐ),LJC-M068Q266
1542,LJC01672,LJC01672.jpg,16-72,266,68,かつぐ (二人で担ぐ),LJC-M068Q266
1543,LJC01673,LJC01673.jpg,16-73,266,68,かつぐ (二人で担ぐ),LJC-M068Q266
1544,LJC01674,LJC01674.jpg,16-74,100,70,かす (貸す),LJC-M070Q100
